Store,Date,Year,Month,Week,DayOfWeek,Quarter,WeekOfMonth,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,MarkDown_Total,Has_MarkDown,Sales_Lag_7,Sales_Lag_14,Sales_Lag_28,Sales_RollingMean_7,Sales_RollingStd_7,Sales_RollingMean_28,Sales_RollingStd_28,Type,Size,Size_Normalized,IsHoliday,Is_PreHoliday,Holiday_Month,Days_Since_Start,Week_Number,Target
1,2010-02-05,2010,2,5,4,1,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,42.31,2.572,211.0963582,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,151315,0.3331494290870447,False,1,0,0,0,1643690.9
1,2010-02-12,2010,2,6,4,1,2,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,38.51,2.548,211.2421698,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1643690.9,0.0,1643690.9,0.0,A,151315,0.3331494290870447,True,0,2,7,1,1641957.44
1,2010-02-19,2010,2,7,4,1,3,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,39.93,2.514,211.2891429,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1642824.17,1225.7413209156064,1642824.17,1225.7413209156064,A,151315,0.3331494290870447,False,0,0,14,2,1611968.17
1,2010-02-26,2010,2,8,4,1,4,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,46.63,2.561,211.3196429,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1632538.8366666667,17835.791718514614,1632538.8366666667,17835.791718514614,A,151315,0.3331494290870447,False,0,0,21,3,1409727.59
1,2010-03-05,2010,3,9,4,1,1,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,46.5,2.625,211.3501429,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1576836.025,112353.41511397276,1576836.025,112353.41511397276,A,151315,0.3331494290870447,False,0,0,28,4,1554806.68
1,2010-03-12,2010,3,10,4,1,2,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,57.79,2.667,211.3806429,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1572430.156,97798.39377032383,1572430.156,97798.39377032383,A,151315,0.3331494290870447,False,0,0,35,5,1439541.59
1,2010-03-19,2010,3,11,4,1,3,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,54.58,2.72,211.215635,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1550282.0616666665,102931.28365484245,1550282.0616666665,102931.28365484245,A,151315,0.3331494290870447,False,0,0,42,6,1472515.79
1,2010-03-26,2010,3,12,4,1,4,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,51.45,2.732,211.0180424,8.106,0.0,0.0,0.0,0.0,0.0,0.0,0,1643690.9,0.0,0.0,1539172.5942857142,98452.94724273356,1539172.5942857142,98452.94724273356,A,151315,0.3331494290870447,False,0,0,49,7,1404429.92
1,2010-04-02,2010,4,13,4,2,1,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766364e-16,62.27,2.719,210.8204499,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1641957.44,0.0,0.0,1504992.4542857143,97648.5493799292,1522329.76,102848.0409315057,A,151315,0.3331494290870447,False,0,0,56,8,1594968.28
1,2010-04-09,2010,4,14,4,2,2,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,65.86,2.77,210.6228574,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1611968.17,0.0,0.0,1498279.7171428571,87780.2665728809,1530400.7066666665,99205.67626846352,A,151315,0.3331494290870447,False,0,0,63,9,1545418.53
1,2010-04-16,2010,4,15,4,2,3,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,66.32,2.808,210.4887,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1409727.59,0.0,0.0,1488772.6257142858,76263.31692470462,1531902.489,93652.49664286085,A,151315,0.3331494290870447,False,0,0,70,10,1466058.28
1,2010-04-23,2010,4,16,4,2,4,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,64.84,2.795,210.4391228,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1554806.68,0.0,0.0,1496819.8671428573,69174.99333578451,1525916.651818182,91037.59569066268,A,151315,0.3331494290870447,False,0,0,77,11,1391256.12
1,2010-04-30,2010,4,17,4,2,5,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,67.41,2.78,210.3895456,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1439541.59,0.0,0.0,1473455.5014285718,73791.43736113119,1514694.9408333332,95107.9652298527,A,151315,0.3331494290870447,False,0,0,84,12,1425100.71
1,2010-05-07,2010,5,18,4,2,1,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,72.55,2.835,210.3399684,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1472515.79,0.0,0.0,1471392.5185714287,75088.05779967511,1507803.076923077,94388.57209445465,A,151315,0.3331494290870447,False,0,0,91,13,1603955.1199999999
1,2010-05-14,2010,5,19,4,2,2,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,74.78,2.854,210.3374261,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1404429.92,1643690.9,0.0,1490169.5657142855,90307.65712066037,1514671.08,94256.309058179,A,151315,0.3331494290870447,False,0,0,98,14,1494251.5
1,2010-05-21,2010,5,20,4,2,3,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,76.44,2.826,210.6170934,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1594968.28,1641957.44,0.0,1503001.22,82103.24139569803,1513309.7746666668,90980.54553770603,A,151315,0.3331494290870447,False,0,0,105,15,1399662.07
1,2010-05-28,2010,5,21,4,2,4,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,80.44,2.759,210.8967606,7.808,0.0,0.0,0.0,0.0,0.0,0.0,0,1545418.53,1611968.17,0.0,1475100.332857143,78758.57282464695,1506206.793125,92373.51660739211,A,151315,0.3331494290870447,False,0,0,112,16,1432069.95
